datum;pozicija;sektor_protustranke;podskup_protustranke;instrument;namjena_kredita;izvorno_dospijece;otkazni_rok;pocetno_fiksiranje_kamatne_stope;velicina_kredita;nominalna_kamatna_stopa_novi_posao;nominalna_kamatna_stopa_stanje;efektivna_kamatna_stopa;iznos_novi_posao;iznos_stanje;izvorne_tablice
2012-01-31;DEPOZITI;KUCANSTVA;UKUPNO;STEDNI_DEPOZITI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,26;;;2250,77583773;G1
2012-01-31;DEPOZITI;KUCANSTVA;UKUPNO;TRANSAKCIJSKI_RACUNI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,22;;;2142,9135508;G1
2012-01-31;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;DUGOROCNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,57;4,24;;26,55501518;731,314357;G5|G6
2012-01-31;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;KRATKOROCNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;2,91;3,53;;392,30756288;1692,84456326;G5|G6
2012-01-31;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;2,95;3,74;;418,86257805;2424,15892026;G1|G5
2012-01-31;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;PREKONOCNI_DEPOZITI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,55;;;2703,62653049;G1
2012-01-31;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;STEDNI_DEPOZITI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,57;;;252,8586446;G1
2012-01-31;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;TRANSAKCIJSKI_RACUNI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,55;;;2450,76788588;G1
2012-01-31;DEPOZITI;UKUPNO;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,21;3,69;;1469,0067238;18967,17324071;G5|G6
2012-01-31;DEPOZITI;UKUPNO;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,21;3,69;;1469,0067238;18967,17324071;G5|G6
2012-01-31;KREDITI;KUCANSTVA;OBRTNICI;KREDITI;OSTALE_NAMJENE;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,58;;;16,21564264;;G2
2012-01-31;KREDITI;KUCANSTVA;OBRTNICI;KREDITI;POTROSACKI_I_OSTALI;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;9,75;7,35;;54,28749677;533,99837773;G5|G6
2012-01-31;KREDITI;KUCANSTVA;OBRTNICI;REVOLVING_PREKORACENJA_I_KARTICE;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;10,49;;;50,30282403;G2
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;OSTALE_NAMJENE;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;8,43;;;109,52586878;;G2
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;POTROSACKI;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;6,9;;8,95;0,9902593;;G2
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;POTROSACKI_I_OSTALI;DUGOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;8,53;9,56;;95,29010182;6041,06587928;G5|G6
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;POTROSACKI_I_OSTALI;KRATKOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;5,8;10,53;;21,81155922;1398,83904667;G5|G6
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;POTROSACKI_I_OSTALI;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;8,02;9,74;;117,10166104;7439,90492595;G5|G6
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;STAMBENI;DUGOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;5,8;6,13;;35,08969025;4923,77460144;G5|G6
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;STAMBENI;KRATKOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;5,25;7,59;;4,31482094;0,15657776;G5|G6
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;STAMBENI;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;5,74;6,13;6,32;39,4045112;4923,9311792;G2|G5
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,45;8,3;;156,50617223;12363,83610515;G5|G6
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;KREDITI_PO_KREDITNIM_KARTICAMA;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;10,41;;;521,32994552;G2
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;PREKORACENJA_PO_TRANSAKCIJSKOM_RACUNU;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;11,67;;;933,11043369;G2
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;REVOLVING_KREDITI;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;9,98;;;14,28180459;G2
2012-01-31;KREDITI;KUCANSTVA;UKUPNO;REVOLVING_PREKORACENJA_I_KARTICE;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;;10,81;;;1550,95537754;G2
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;DUGOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;6,58;6,61;;123,16449368;8241,02745858;G5|G6
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;KRATKOROCNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,21;7,94;;149,48111371;2845,27812979;G5|G6
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;DO_0_25_MIL_EUR;7,6;;;43,93639763;;G3
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;OD_0_25_DO_1_MIL_EUR;7,23;;;45,78617561;;G3
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;6,92;6,95;;272,64560739;11086,30558837;G5|G6
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;VISE_OD_1_MIL_EUR;6,78;;;175,93226961;;G3
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;KREDITI_PO_KREDITNIM_KARTICAMA;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;11,55;;;8,35602543;G3
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;REVOLVING_I_PREKORACENJA;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;8,04;;;659,48448882;G3
2012-01-31;KREDITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;REVOLVING_PREKORACENJA_I_KARTICE;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;8,05;;;672,59273145;G3
2012-01-31;KREDITI;UKUPNO;UKUPNO;KREDITI;UKUPNO;UKUPNO;NIJE_PRIMJENJIVO;UKUPNO;UKUPNO;7,11;7,66;;429,15177962;23450,14169352;G5|G6
2012-02-29;DEPOZITI;KUCANSTVA;UKUPNO;DEPOZITI_U_OTKAZNOM_ROKU;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;DO_3_MJESECA;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;4,27;;;0,11515638;;G1
2012-02-29;DEPOZITI;KUCANSTVA;UKUPNO;DEPOZITI_U_OTKAZNOM_ROKU;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;4,27;;;0,11515638;;G1
2012-02-29;DEPOZITI;KUCANSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;DUGOROCNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;4,37;4,01;;322,89001093;6806,54366418;G5|G6
2012-02-29;DEPOZITI;KUCANSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;KRATKOROCNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,09;3,47;;713,22447617;9840,03034627;G5|G6
2012-02-29;DEPOZITI;KUCANSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,49;3,69;;1036,1144871;16646,57401045;G1|G5
2012-02-29;DEPOZITI;KUCANSTVA;UKUPNO;PREKONOCNI_DEPOZITI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,23;;;4601,62088197;G1
2012-02-29;DEPOZITI;KUCANSTVA;UKUPNO;STEDNI_DEPOZITI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,26;;;2245,6387053;G1
2012-02-29;DEPOZITI;KUCANSTVA;UKUPNO;TRANSAKCIJSKI_RACUNI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,2;;;2355,76034575;G1
2012-02-29;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;DUGOROCNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;3,85;3,57;;3,93849683;703,79904559;G5|G6
2012-02-29;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;KRATKOROCNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;2,87;3,76;;379,11303624;1693,70399626;G5|G6
2012-02-29;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;OROCENI_DEPOZITI;NIJE_PRIMJENJIVO;UKUPNO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;2,88;3,71;;383,05153307;2397,50304185;G1|G5
2012-02-29;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;PREKONOCNI_DEPOZITI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,52;;;2295,57080256;G1
2012-02-29;DEPOZITI;NEFINANCIJSKA_DRUSTVA;UKUPNO;STEDNI_DEPOZITI;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;NIJE_PRIMJENJIVO;;0,6;;;214,59133786;G1
